test,distance [m],V photodiode [V], Sitting status success [T/F],Present status success [T/F]
155,1.054310345,3.954056696,1,1
156,1.054137931,4.027370479,1,1
157,1.071206897,3.978494624,1,1
158,1.100172414,3.963831867,1,1
159,1.05,3.973607038,1,1
160,1.071206897,4.042033236,1,1
161,1.054310345,4.012707722,1,1
162,1.059310345,3.89540567,1,1
163,1.049827586,3.958944282,1,1
164,1.084137931,3.861192571,1,1
165,1.071206897,3.978494624,1,1
166,1.059310345,3.968719453,1,1
167,1.054137931,3.831867058,1,1
168,1.058448276,3.924731183,1,1
169,1.055,3.856304985,1,1
170,1.062758621,3.875855327,1,1
171,1.116896552,3.954056696,1,1
172,1.105172414,4.027370479,1,1
173,1.058448276,3.973607038,1,1
174,1.054137931,3.836754643,1,1
175,1.054137931,3.954056696,1,1
176,1.049827586,3.968719453,1,1
177,1.079827586,4.056695992,1,1
178,1.054137931,3.905180841,1,1
179,1.062758621,3.944281525,1,1
180,1.075517241,3.963831867,1,1
181,1.062758621,3.866080156,1,1
182,1.05,4.071358749,1,1
183,1.049827586,3.914956012,1,1
184,1.054137931,3.968719453,1,1
185,1.100862069,4.071358749,1,1
186,1.058275862,4.042033236,1,1
187,1.071034483,3.875855327,1,1
188,1.058275862,3.988269795,1,1
189,1.071034483,3.846529814,1,1
190,1.058448276,3.866080156,1,1
191,1.071034483,4.08113392,1,1
192,1.071034483,3.973607038,1,1
193,1.075344828,3.870967742,1,1
194,1.054137931,3.8514174,1,1
195,1.100862069,4.042033236,1,1
196,1.075344828,4.051808407,1,1
197,1.075344828,4.03714565,1,1
198,1.1,3.94916911,1,1
199,1.062586207,3.919843597,1,1
200,1.053275862,3.861192571,1,1
201,1.053275862,4.032258065,1,1
202,1.082931034,4.002932551,1,1
203,1.075344828,4.071358749,1,1
204,1.05862069,4.042033236,1,1
205,1.062586207,3.900293255,1,1
206,1.053448276,3.846529814,1,1
207,1.075344828,4.007820137,1,1
208,1.1,4.046920821,1,1
209,1.049827586,4.03714565,1,1
210,1.074310345,3.890518084,1,1
211,1.053965517,3.954056696,1,1
212,1.082758621,3.910068426,1,1
213,1.078448276,4.071358749,1,1
214,1.087241379,3.866080156,1,1
215,1.058448276,3.94916911,1,1
216,1.091551724,3.939393939,1,1
217,1.082931034,3.968719453,1,1
218,1.053275862,4.007820137,1,1
219,1.070344828,3.998044966,1,1
220,1.057586207,3.968719453,1,1
221,1.074655172,4.002932551,1,1
222,0.17,4.086021505,0,1
223,0.355862069,4.027370479,0,1
224,0.069827586,3.900293255,0,1
225,1.05,3.934506354,1,1
226,1.071206897,3.836754643,1,1
227,1.071206897,4.051808407,1,1
228,0.667068966,3.998044966,0,1
229,0.178448276,3.978494624,0,1
230,0.013793103,3.968719453,0,1
231,0.007931034,4.042033236,0,1
232,0.022068966,4.022482893,0,1
233,0.052931034,3.99315738,0,1
234,0.011206897,3.958944282,0,1
235,0.212241379,4.105571848,0,1
236,0.100172414,3.978494624,0,1
237,0.069827586,4.051808407,0,1
238,0.264827586,4.007820137,0,1
239,0.103793103,3.99315738,0,1
240,0.272413793,4.090909091,0,1
241,0.056896552,4.002932551,0,1
242,0.147931034,4.066471163,0,1
243,0.165517241,4.022482893,0,1
244,0.088448276,3.973607038,0,1
245,0.228448276,4.100684262,0,1
246,0.083448276,4.061583578,0,1
247,0.141896552,4.032258065,0,1
248,0.140172414,4.007820137,0,1
249,0.078965517,3.99315738,0,1
250,0.097931034,3.988269795,0,1
251,0.057931034,4.007820137,0,1
252,0.081551724,4.051808407,0,1
253,0.16637931,4.086021505,0,1
254,0.009310345,4.042033236,0,1
255,0.099482759,3.934506354,0,1
256,0.138448276,3.973607038,0,1
257,0.039137931,3.99315738,0,1
258,0.00862069,4.03714565,0,1
259,0.135862069,4.071358749,0,1
260,0.06137931,4.046920821,0,1
261,0.00862069,3.988269795,0,1
262,0.059482759,3.910068426,0,1
263,0.012068966,3.939393939,0,1
264,0.040862069,3.998044966,0,1
265,0.006034483,3.988269795,0,1
266,0.096896552,3.880742913,0,1
267,0.026551724,3.968719453,0,1
268,0.16,3.968719453,0,1
269,0.028103448,3.885630499,0,1
270,0.109827586,3.929618768,0,1
271,0.069827586,3.988269795,0,1
272,0.02637931,3.968719453,0,1
273,0.011206897,4.071358749,0,1
274,0.039310345,4.022482893,0,1
275,0.186034483,3.856304985,0,1
276,0.038448276,4.042033236,0,1
277,0.112931034,3.978494624,0,1
278,0.009482759,4.007820137,0,1
279,0.126724138,3.983382209,0,1
280,0.059655172,3.998044966,0,1
281,0.194482759,3.963831867,0,1
282,0.056896552,4.056695992,0,1
283,0.129137931,4.061583578,0,1
284,0.040862069,3.856304985,0,1
285,0.135172414,3.89540567,0,1
286,0.033275862,4.012707722,0,1
287,0.006896552,4.027370479,0,1
288,0.087586207,3.978494624,0,1
289,0.125862069,3.94916911,0,1
290,0.012068966,3.885630499,0,1
291,0.191896552,4.076246334,0,1
292,0.043448276,3.983382209,0,1
293,0.174137931,3.861192571,0,1
294,0.174137931,3.983382209,0,1
295,0.305689655,4.032258065,0,1
296,0.068965517,4.090909091,0,1
297,0.006206897,4.027370479,0,1
298,0.113965517,3.958944282,0,1
299,0.078275862,3.885630499,0,1
300,0.210517241,3.958944282,0,1
301,0.033965517,4.086021505,0,1
302,0.028965517,3.880742913,0,1
303,0.094310345,3.939393939,0,1
304,0.040689655,3.998044966,0,1
305,0.186034483,4.071358749,0,1
306,0.037413793,3.968719453,0,1
307,0.029827586,3.890518084,0,1
308,0.165689655,3.94916911,0,1
309,0.026551724,3.954056696,0,1
310,0.178448276,4.03714565,0,1
311,0.081551724,3.988269795,0,1
312,0.319137931,4.007820137,0,1
313,0.234310345,3.831867058,0,1
314,0.069827586,3.998044966,0,1
315,0.321896552,3.944281525,0,1
316,0.10862069,3.978494624,0,1
317,0.326896552,3.866080156,0,1
318,0.226724138,3.910068426,0,1
319,0.270862069,3.973607038,0,1
320,0.099310345,4.100684262,0,1
321,0.035,3.973607038,0,1
322,0.108965517,3.978494624,0,1
323,0.009482759,4.051808407,0,1
324,0.085172414,3.983382209,0,1
325,0.007758621,3.973607038,0,1
326,0.14362069,3.89540567,0,1
327,0.025689655,3.973607038,0,1
328,0.264137931,4.105571848,0,1
329,1.061034483,4.056695992,1,1
330,1.078793103,4.032258065,1,1
331,1.061724138,4.027370479,1,1
332,1.070517241,3.939393939,1,1
333,1.061206897,4.130009775,1,1
334,1.086551724,4.061583578,1,1
335,0.631551724,3.914956012,0,1
336,0.041896552,3.890518084,0,1
337,0.036724138,3.836754643,0,1
338,0.154655172,3.94916911,0,1
339,0.016896552,3.875855327,0,1
340,0.092586207,3.646138807,0,1
341,0.058793103,3.680351906,0,1
342,0.374482759,3.660801564,0,1
343,0.113965517,3.675464321,0,1
344,0.006206897,3.675464321,0,1
345,0.313448276,3.587487781,0,1
346,0.011206897,3.465298143,0,1
347,0.054137931,3.626588465,0,1
348,1.082241379,3.675464321,1,1
349,1.083103448,3.455522972,1,1
350,1.053448276,3.494623656,1,1
351,1.087413793,3.558162268,1,1
352,1.073793103,3.670576735,1,1
353,1.065172414,3.62170088,1,1
354,1.082241379,3.685239492,1,1
355,1.089827586,3.543499511,1,1
356,1.06862069,3.753665689,1,1
357,1.063275862,3.748778104,1,1
358,1.060172414,3.734115347,1,1
359,1.098448276,3.553274682,1,1
360,1.115517241,3.734115347,1,1
361,1.056034483,3.699902248,1,1
362,1.060172414,3.739002933,1,1
363,1.055862069,3.724340176,1,1
364,1.060172414,3.57771261,1,1
365,1.064482759,3.572825024,1,1
366,1.072931034,3.802541544,1,1
367,1.089827586,3.748778104,1,1
368,1.097241379,3.548387097,1,1
369,1.097413793,3.567937439,1,1
370,1.068793103,3.787878788,1,1
371,1.077241379,3.817204301,1,1
372,1.063448276,3.651026393,1,1
373,1.094137931,3.714565005,1,1
374,1.077068966,3.724340176,1,1
375,1.077241379,3.817204301,1,1
376,1.06862069,3.831867058,1,1
377,1.098448276,3.714565005,1,1
378,1.067758621,3.695014663,1,1
379,1.064482759,3.753665689,1,1
380,1.114310345,3.76344086,1,1
381,1.06862069,3.831867058,1,1
382,1.068793103,3.695014663,1,1
383,1.072931034,3.71945259,1,1
384,1.059310345,3.76344086,1,1
385,1.098448276,3.670576735,1,1
386,1.064482759,3.729227761,1,1
387,1.072931034,3.709677419,1,1
388,1.068793103,3.685239492,1,1
389,1.060172414,3.582600196,1,1
390,1.077241379,3.826979472,1,1
391,1.060172414,3.734115347,1,1
392,1.068793103,3.538611926,1,1
393,1.085862069,3.714565005,1,1
394,1.077241379,3.80742913,1,1
395,1.081551724,3.797653959,1,1
396,1.060172414,3.690127077,1,1
397,1.060172414,3.62170088,1,1
398,1.06862069,3.690127077,1,1
399,1.055862069,3.743890518,1,1
400,1.077068966,3.685239492,1,1
401,1.056034483,3.567937439,1,1
402,1.068793103,3.528836755,1,1
403,1.085689655,3.709677419,1,1
404,1.06862069,3.572825024,1,1
405,1.055862069,3.768328446,1,1
406,1.077241379,3.797653959,1,1
407,1.093275862,3.675464321,1,1
408,1.072931034,3.675464321,1,1
409,1.064482759,3.792766373,1,1
410,1.085689655,3.592375367,1,1
411,1.06862069,3.709677419,1,1
412,1.064310345,3.66568915,1,1
413,1.055862069,3.80742913,1,1
414,1.094310345,3.787878788,1,1
415,1.056034483,3.563049853,1,1
416,1.094310345,3.523949169,1,1
